EMISORA,SERIE,HORA,ÚLTIMO,PPP,ANTERIOR,MÁXIMO,MÍNIMO,VOLUMEN,IMPORTE,OPS.,VAR PUNTOS,VAR %
LAB,B,3:10,19.17,19.25,19.15,19.27,19.14,"1,391,479","26,757,729.24","1,879",0.1,0.52
LACOMER,UBC,3:10,25.72,25.59,25.39,26.37,25.07,"193,079","4,905,312.42",921,0.2,0.79
LALA,B,3:10,18.3,18.41,18.28,19,18.1,"1,126,105","20,777,811.74","2,175",0.13,0.71
LAMOSA,*,3:10,29.3,0,29.39,29.3,29.3,"57,877","1,695,796.10",3,-0.09,-0.31
LIVEPOL,C-1,3:10,99.47,100.02,99.45,100.25,98.52,"628,317","62,801,264.99","2,418",0.57,0.57
M10TRAC,ISHRS,1:59,99.1,0,98.86,99.1,98.81,"28,009","2,772,939.79",5,0.24,0.24
MAXCOM,A,3:10,2.88,0,2.88,0,0,21,58.8,3,0,0
MEDICA,B,3:10,21.5,0,21.7,21.5,21.5,104,"2,236",2,-0.2,-0.92
MEGA,CPO,3:10,77.18,77.06,76.53,77.6,76.48,"254,522","19,615,543.97","3,738",0.53,0.69
MEXTRAC,9,3:10,35.96,35.98,35.73,36.03,35.4,"5,053","181,540.49",4,0.25,0.7
MFRISCO,A-1,3:10,3.85,0,3.85,3.85,3.85,716,"2,761.39",19,0,0
NAFTRAC,ISHRS,3:10,43.54,43.5,43.27,43.54,43.37,"5,034,747","218,814,446.70",297,0.23,0.53
NEMAK,A,3:10,9.09,9.27,9.22,9.4,9.03,"2,259,889","20,935,264.98","4,366",0.05,0.54
OMA,B,3:10,132.14,132.57,130.73,132.91,130.66,"425,190","56,167,056.49","4,030",1.84,1.41
ORBIA,*,3:10,42.42,42.44,41.78,42.49,41.85,"754,195","31,909,406.35","3,094",0.66,1.58
PAPPEL,*,3:10,21.87,21.87,21.88,21.87,21.54,"1,393","30,171.76",20,-0.01,-0.05
PE&OLES,*,3:10,234.98,234.98,233.68,235.8,233.02,"95,444","22,423,949.38","3,949",1.3,0.56
PINFRA,*,3:10,183.5,184,183.52,187.35,182.93,"356,515","65,737,491.94","2,205",0.48,0.26
PINFRA,L,3:10,126.47,126.47,124.9,126.47,124.9,"3,216","404,405.83",17,1.57,1.26
POCHTEC,B,3:10,6.79,0,6.79,0,0,170,"1,143.40",4,0,0
POSADAS,A,3:10,38,0,38,0,0,14,531.86,1,0,0
PSOTRAC,15,1:58,7.6,0,7.6,0,0,9,69.24,4,0,0
Q,*,3:10,81.26,81.24,82.19,82.48,80.83,"352,051","28,741,904.57","2,460",-0.95,-1.16
QVGMEX,18,3:10,20.63,20.63,20.55,20.64,20.63,"17,323","357,483.49",3,0.08,0.39
R,A,3:10,101.95,102.2,99.97,102.49,100,"226,136","22,917,401.26","2,598",2.23,2.23
SAN,*,3:10,75.7,0,75.47,76.55,75.7,"3,992","304,708.36",10,0.23,0.3
SIMEC,B,3:10,60.82,0,59.97,60.94,59.5,"3,744","223,860.54",166,0.85,1.42
SITES,B-1,3:10,13.4,13.4,13.1,13.55,12.92,"1,381,493","18,582,133.14","1,280",0.3,2.29
SORIANA,B,3:10,22.51,22.54,22.92,23.2,22.51,"19,330","438,246.97",81,-0.38,-1.66
SPORT,S,3:10,18,0,18,0,0,28,504,2,0,0
TEAK,CPO,3:10,7.6,0,7.6,0,0,35,255.57,2,0,0
TERRA,13,3:10,31.3,31.3,31.76,32,31.05,"300,663","9,497,024.33","2,163",-0.46,-1.45
TLEVISA,CPO,3:10,43.29,43.32,44.34,44.75,43.26,"900,793","39,234,717.26","4,678",-1.02,-2.3
TMM,A,3:10,6.5,0,6.5,0,0,15,97.35,1,0,0
TRAXION,A,3:10,13.8,13.79,13.79,13.84,13.7,"489,090","6,741,338.06","1,763",0,0
UDITRAC,ISHRS,1:53,129.27,0,128.96,129.27,129.27,"2,700","349,043.80",3,0.31,0.24
UNIFIN,A,3:10,31.01,30.89,30.45,31.06,30.3,"328,801","9,992,271.46",177,0.44,1.44
URBI,*,3:10,0.98,0.98,0.98,0.98,0.98,"2,206","2,169.46",19,0,0
VESTA,*,3:10,32.85,32.94,33.04,33,32.72,"1,229,458","40,494,515.04","3,004",-0.1,-0.3
VINTE,*,3:10,27.65,0,27.5,27.65,27.65,"1,111","30,702.94",5,0.15,0.55
VISTA,A,3:10,106,0,105,106,103,"29,354","3,036,326.99",29,1,0.95
VITRO,A,3:10,43.35,0,43.35,0,0,4,173.88,1,0,0
VOLAR,A,3:10,21.18,21.2,21.29,21.31,20.98,"214,775","4,547,000.88",609,-0.09,-0.42
WALMEX,*,3:10,54.68,54.67,55.2,55.25,54.25,"10,265,465","561,438,554.63","18,537",-0.53,-0.96
